Sample ID,Source,pH,EC,Turbidity,Fe,TC,FC,Mn,Al,NH3 Ammonia,R-Cl2,Color,Pb
Z2-001,Tap,-0.45,2.22,-0.29,-0.43,2.80,2.81,0.24,4.16,-0.80,-0.30,-1.01,0.50
Z2-002,UGWR,-0.64,2.19,-0.23,-0.53,2.80,2.81,1.83,-0.19,-0.99,-0.60,-1.03,1.51
Z2-003,OHWT,-0.52,2.21,-0.38,-0.53,2.80,2.81,1.43,-0.73,-0.94,1.75,-1.03,1.30
Z2-004,Tap,-0.49,0.54,1.01,3.49,-0.48,-0.42,0.87,-0.73,0.43,-0.01,-1.07,-0.60
Z2-005,UGWR,-0.67,0.54,0.17,0.98,-0.02,-0.16,1.66,-0.73,2.84,-0.01,-1.07,-0.76
Z2-006,OHWT,-0.61,0.55,-0.56,0.19,-0.48,-0.42,1.46,-0.59,2.55,-0.01,-1.07,-0.76
Z2-007,Tap,2.28,-1.21,-0.92,-0.84,-0.48,-0.42,-1.06,-0.73,-0.94,-0.30,-1.07,1.91
Z2-008,UGWR,2.13,-1.21,-0.87,-0.84,-0.48,-0.42,-1.06,-0.73,-0.52,-0.60,-1.07,1.11
Z2-009,OHWT,2.05,-1.21,-0.86,-0.84,-0.48,-0.42,-1.02,-0.73,0.24,-0.30,-1.07,-0.73
Z2-010,Tap,1.59,-0.59,2.60,0.82,-0.10,-0.08,-0.74,-0.06,-0.09,-0.30,-1.03,-0.09
Z2-011,UGWR,1.07,-0.56,2.37,0.92,-0.43,-0.41,0.50,0.51,-0.14,-0.30,-1.07,-0.09
Z2-012,OHWT,1.50,-0.59,2.45,1.92,-0.11,-0.07,-0.83,0.78,-0.28,-0.30,-1.07,-0.71
Z3-001,Tap,-0.44,0.41,-0.71,-0.65,-0.15,-0.23,-0.14,-0.46,-0.42,1.16,0.54,-0.49
Z3-002,UGWR,-0.50,0.28,-0.88,-0.72,-0.42,-0.38,-0.21,-0.56,-0.56,0.28,0.58,1.51
Z3-003,OHWT,-0.52,0.33,-0.78,-0.65,-0.10,-0.19,-0.26,-0.12,0.85,-0.60,0.31,2.10
Z3-005,Tap,0.45,-0.54,-0.25,-0.21,-0.48,-0.42,-0.72,-0.73,-0.42,-0.01,0.36,-0.68
Z3-006,UGWR,-0.04,-0.54,0.04,-0.43,-0.30,-0.39,-0.36,-0.73,-0.75,4.38,1.19,-0.65
Z3-007,OHWT,-1.03,-0.54,-0.12,-0.34,-0.46,-0.42,-0.47,-0.09,-0.66,-0.60,0.51,1.70
Z3-009,Tap,-0.41,-0.93,-0.29,-0.65,-0.43,-0.42,-0.93,1.68,0.19,-0.30,1.67,-0.84
Z3-010,UGWR,-0.69,-0.94,-0.40,-0.53,-0.21,-0.39,-0.44,-0.06,-0.94,-0.30,0.59,-0.79
Z3-011,OHWT,-0.38,-0.93,-0.38,-0.59,-0.39,-0.41,-0.76,-0.43,-0.85,-0.60,0.54,-0.76
Z3-013,Tap,-0.34,0.52,0.58,0.82,-0.30,-0.33,0.47,0.38,0.95,-0.30,1.12,-0.76
Z3-014,UGWR,-0.69,0.68,0.46,1.14,-0.34,-0.42,2.37,0.61,-0.61,-0.30,1.21,-0.47
Z3-015,OHWT,-0.38,0.53,0.24,0.16,-0.46,-0.42,-0.97,0.11,0.66,-0.30,0.18,-0.68
Z3-004,Source,-0.86,0.29,-0.76,-0.47,-0.48,-0.42,0.62,0.24,1.37,-0.30,1.22,-0.09
Z3-008,Source,-0.72,-0.54,-1.02,-0.75,-0.47,-0.41,-1.06,-0.12,0.52,-0.30,1.27,-0.81
Z3-012,Source,-0.68,-0.94,-0.22,-0.43,-0.35,-0.37,-0.40,0.01,-0.71,-0.60,1.36,-0.89
